logFC	logCPM	PValue	FDR
AT2G19190	-4.54859748841946	7.38909998557605	4.72447697975492e-23	1.23880510886154e-18
AT2G44370	-5.4355788764918	5.2123593064246	2.90229952235541e-21	3.80505978878406e-17
AT3G55150	-5.7780886592687	4.91571325846713	8.04406073504244e-21	7.03077721778493e-17
AT4G12500	-4.39110777115162	10.4369494925018	2.32170363344679e-20	1.5219347743152e-16
AT3G46280	-4.92503504327752	8.12427234030391	3.69882196184731e-20	1.85713364305116e-16
AT1G51820	-4.38800343043359	6.38494749928549	4.2495716632878e-20	1.85713364305116e-16
AT2G39380	-4.94896288672918	5.78738427556655	9.22569183091331e-20	3.45581236426254e-16
AT5G48430	-6.2512215800379	6.72103260268362	2.59133776335062e-19	8.49343343660208e-16
AT5G64120	-3.75507525544338	9.70096755435394	3.21020520057517e-19	9.3527545071424e-16
AT2G39530	-4.34966299667613	6.72216606512399	4.3356253596977e-19	1.13684432556633e-15
AT4G12490	-3.87709843580801	10.1999843183726	5.53886357767885e-19	1.32031401700288e-15
AT1G51800	-3.98608818775982	7.72354486723264	9.371856678734e-18	2.04782878310904e-14
AT1G51850	-5.29258320739426	5.43495728258086	1.27888948975527e-17	2.57952010083638e-14
AT2G17740	-4.17189804933743	6.78172433522973	5.10538823878186e-17	9.56202750064994e-14
AT2G39200	-3.97568100236505	9.0136050703025	4.3418174935703e-16	7.58978643326045e-13
AT2G43620	-3.20813714632751	9.93300736977115	1.37516770954209e-14	2.25364203199395e-11
AT2G30750	-4.61579354365619	5.5885744401448	2.7938415156509e-14	4.30925402246366e-11
AT4G20860	-3.48425598444155	8.25352569963037	3.18617356506438e-14	4.64136983608628e-11
AT3G45060	-3.18332990872978	7.14443635831543	1.09522819796991e-13	1.51147255678785e-10
AT2G45220	-3.53612281527273	7.74059835807642	3.14664548794349e-13	4.12540956696831e-10
AT1G30720	-3.74546600559165	6.87757074123242	3.53649372913568e-13	4.41573343198413e-10
AT3G21230	-3.0883123976686	6.59436176243455	6.87366562979947e-13	8.19247211268054e-10
AT1G51890	-3.03289517513743	6.00581684662156	1.20550136841037e-12	1.37432397309079e-09
AT5G39580	-3.44741730143988	6.61475931673255	1.46591400126685e-12	1.60157212613409e-09
AT1G30730	-3.43964004116253	5.81397899856841	1.78927094884164e-12	1.80181613460696e-09
AT2G35930	-3.13606914576006	6.46815837763516	1.83629298907466e-12	1.80181613460696e-09
