"hgnc_symbol"	"hgnc_id"	"description"
"A2M"	"HGNC:7"	"alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]"
"AADAT"	"HGNC:17929"	"aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]"
"AAMP"	"HGNC:18"	"angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]"
"ABCA1"	"HGNC:29"	"ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]"
"ABCB4"	"HGNC:45"	"ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]"
"ABCC9"	"HGNC:60"	"ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]"
"ABCE1"	"HGNC:69"	"ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]"
"ABCF1"	"HGNC:70"	"ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]"
"ABCF2"	"HGNC:71"	"ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]"
"ABCG1"	"HGNC:73"	"ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]"
"ABHD16A"	"HGNC:13921"	"abhydrolase domain containing 16A, phospholipase [Source:HGNC Symbol;Acc:HGNC:13921]"
"ABHD17C"	"HGNC:26925"	"abhydrolase domain containing 17C, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:26925]"
"ABHD2"	"HGNC:18717"	"abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]"
"ABHD8"	"HGNC:23759"	"abhydrolase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23759]"
"ABI1"	"HGNC:11320"	"abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]"
"ABI2"	"HGNC:24011"	"abl interactor 2 [Source:HGNC Symbol;Acc:HGNC:24011]"
"ABL1"	"HGNC:76"	"ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]"
"ABL2"	"HGNC:77"	"ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]"
"ABLIM1"	"HGNC:78"	"actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78]"
"ABLIM2"	"HGNC:19195"	"actin binding LIM protein family member 2 [Source:HGNC Symbol;Acc:HGNC:19195]"
"ABR"	"HGNC:81"	"ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]"
"ABRAXAS2"	"HGNC:28975"	"abraxas 2, BRISC complex subunit [Source:HGNC Symbol;Acc:HGNC:28975]"
"ABTB2"	"HGNC:23842"	"ankyrin repeat and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23842]"
"ABTB3"	"HGNC:23844"	"ankyrin repeat and BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23844]"
"ACAA2"	"HGNC:83"	"acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]"
"ACACA"	"HGNC:84"	"acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]"
"ACACB"	"HGNC:85"	"acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]"
"ACAD8"	"HGNC:87"	"acyl-CoA dehydrogenase family member 8 [Source:HGNC Symbol;Acc:HGNC:87]"
"ACADSB"	"HGNC:91"	"acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]"
"ACAN"	"HGNC:319"	"aggrecan [Source:HGNC Symbol;Acc:HGNC:319]"
"ACAP2"	"HGNC:16469"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 [Source:HGNC Symbol;Acc:HGNC:16469]"
"ACHE"	"HGNC:108"	"acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]"
"ACIN1"	"HGNC:17066"	"apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]"
"ACLY"	"HGNC:115"	"ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]"
"ACP1"	"HGNC:122"	"acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]"
"ACSL1"	"HGNC:3569"	"acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]"
"ACSL5"	"HGNC:16526"	"acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]"
"ACTA1"	"HGNC:129"	"actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]"
"ACTA2"	"HGNC:130"	"actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]"
"ACTB"	"HGNC:132"	"actin beta [Source:HGNC Symbol;Acc:HGNC:132]"
"ACTC1"	"HGNC:143"	"actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]"
"ACTG1"	"HGNC:144"	"actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]"
"ACTL6A"	"HGNC:24124"	"actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]"
"ACTN1"	"HGNC:163"	"actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]"
"ACTN2"	"HGNC:164"	"actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]"
"ACTN4"	"HGNC:166"	"actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]"
"ACTR1A"	"HGNC:167"	"actin related protein 1A [Source:HGNC Symbol;Acc:HGNC:167]"
"ACTR2"	"HGNC:169"	"actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]"
"ACTR3"	"HGNC:170"	"actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]"
"ACTR3B"	"HGNC:17256"	"actin related protein 3B [Source:HGNC Symbol;Acc:HGNC:17256]"
"ACVR1"	"HGNC:171"	"activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]"
"ACVR1B"	"HGNC:172"	"activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]"
"ACVR2A"	"HGNC:173"	"activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]"
"ACVR2B"	"HGNC:174"	"activin A receptor type 2B [Source:HGNC Symbol;Acc:HGNC:174]"
"ACVRL1"	"HGNC:175"	"activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]"
"ADA2"	"HGNC:1839"	"adenosine deaminase 2 [Source:HGNC Symbol;Acc:HGNC:1839]"
"ADAM10"	"HGNC:188"	"ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]"
"ADAM12"	"HGNC:190"	"ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]"
"ADAM17"	"HGNC:195"	"ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]"
"ADAM23"	"HGNC:202"	"ADAM metallopeptidase domain 23 [Source:HGNC Symbol;Acc:HGNC:202]"
"ADAM30"	"HGNC:208"	"ADAM metallopeptidase domain 30 [Source:HGNC Symbol;Acc:HGNC:208]"
